name,online_order,book_table,rate,votes,approx_cost,restaurant_type
Cafe Vivacity,Yes,No,3.8,87,650,Cafes
Chatar Patar,No,No,3.7,59,330,Dining
Timepass Dinner,Yes,No,3.8,275,540,Buffet
T3H Cafe,No,No,3.9,85,300,Cafes
Faasos,Yes,No,4.2,385,500,Other
Domino's Pizza,Yes,No,3.9,560,800,Dining
Empire Restaurant,Yes,No,4.4,5016,750,Other
Ovenstory Pizza,Yes,No,3.9,169,750,Dining
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4,0,150,Dining
Sri Sai Tiffannies,No,No,3.3,0,150,Dining
Onesta,Yes,Yes,4.6,2344,540,Cafes
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,150,Dining
LSD Cafe,No,No,2.9,85,630,Other
Goa 0 Km,Yes,Yes,3.6,147,800,Dining
360 Atoms Restaurant And Cafe,Yes,No,3.1,12,400,Cafes
Jeet Restaurant,No,Yes,4.0,779,850,Dining
Vaishali Deluxe,No,No,3.8,43,770,Dining
Gustoes Beer House,No,No,4.1,902,630,Dining
Empire Restaurant,Yes,No,4.4,5357,750,Other
Gustoes Beer House,No,No,4.1,871,630,Dining
Cafe Vivacity,Yes,No,3.8,98,580,Cafes
Petoo,No,No,3.7,21,500,Dining
Floured-Baked With Love,No,No,3.8,49,360,Dining
The Big O Bakes,No,No,4.0,69,330,Dining
Nandhini Deluxe,No,No,2.6,287,600,Dining
Grand Village,No,No,3.8,165,660,Buffet
Mane Thindi,No,No,3.7,130,200,Dining
The Biryani Cafe,No,No,4.1,512,330,Dining
Bengaluru Coffee House,Yes,No,4.1,208,300,Dining
Fast And Fresh,Yes,No,2.8,95,360,Dining
Village Café,Yes,No,4.1,378,550,Cafes
Aramane Donne Biriyani,No,No,2.9,0,150,Dining
Hide Out Cafe,No,No,3.7,29,300,Cafes
T3H Cafe,No,No,3.9,87,300,Cafes
Just Bake,No,No,3.4,8,400,Dining
Tasty Bytes,Yes,No,3.1,230,300,Dining
Beijing Bites,Yes,No,3.7,725,760,Dining
The Vintage Cafe,Yes,No,3.0,57,440,Cafes
Naveen Kabab & Biriyani Mane,No,No,3.2,9,330,Dining
XO Belgian Waffle,Yes,No,3.7,17,400,Dining
Melting Melodies,No,No,3.3,0,100,Dining
Kaggis,No,No,3.8,64,250,Dining
Biryanis And More,Yes,No,4.0,625,680,Dining
Devanna Dum Biriyani Centre,Yes,No,3.6,29,330,Dining
Goa 0 Km,Yes,Yes,3.6,176,880,Dining
Sea Green Cafe,No,No,3.3,4,450,Cafes
Swathi Cool Point,No,No,4.1,0,200,Dining
Vaishali Deluxe,No,No,3.8,39,700,Dining
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4,0,140,Dining
CAFE NOVA,No,No,3.2,11,540,Cafes
Hide Out Cafe,No,No,3.7,28,300,Cafes
Vi Ra's Bar and Restaurant,No,No,3.3,63,720,Dining
CAFE NOVA,No,No,3.2,12,600,Dining
My Tea House,Yes,No,3.6,62,600,Cafes
Redberrys,Yes,No,4.0,219,600,Cafes
Wood Stove,No,No,3.4,0,160,Dining
Village Café,Yes,No,4.1,402,500,Cafes
Onesta,Yes,Yes,4.6,2420,540,Other
Petoo,No,No,3.7,23,500,Dining
Kulfi & More,No,No,3.4,0,150,Dining
Roving Feast,No,No,4.0,1047,450,Dining
Ovenstory Pizza,Yes,No,3.9,155,830,Dining
Caf-Eleven,No,No,4.0,422,500,Cafes
Darkolates,No,No,3.3,0,220,Dining
Biryanis And More,Yes,No,4.0,574,680,Dining
Soms Kitchen & Bakes,No,No,2.9,0,360,Dining
Hari Super Sandwich,No,No,3.2,0,180,Dining
The Good Bowl,Yes,No,3.6,6,500,Dining
Hotel Andhra Speices,No,No,2.9,0,220,Dining
Coffee Shopee,No,No,3.4,0,250,Dining
Parjanya Chat Zone,No,No,3.3,18,200,Dining
Nandhini Deluxe,No,No,2.6,289,600,Dining
Aarush's Food Plaza,No,No,3.4,0,200,Dining
Onesta,Yes,Yes,4.6,2566,540,Other
Maruthi Davangere Benne Dosa,Yes,No,4.0,17,150,Dining
Vi Ra's Bar and Restaurant,No,No,3.3,58,800,Dining
Peppy Peppers,No,No,4.2,254,880,Other
Namma Brahmin's Idli,Yes,No,3.6,34,100,Dining
Swathi Cool Point,No,No,4.1,0,220,Dining
Gustoes Beer House,No,No,4.1,868,700,Dining
Corner House Ice Cream,No,No,4.3,331,400,Dining
Addhuri Udupi Bhojana,No,No,3.7,85,330,Buffet
Foodlieious Multi Cuisine,No,No,3.4,0,110,Dining
Swathi Cool Point,No,No,4.1,0,180,Dining
Petoo,No,No,3.7,22,450,Dining
Sri Murari Family Restaurant,No,No,2.9,0,280,Dining
Sweet Truth,Yes,No,3.9,38,550,Dining
Banashankari Donne Biriyani,Yes,No,3.8,104,270,Dining
Sugar Rush,No,No,3.8,36,270,Dining
Parjanya Chat Zone,No,No,3.3,16,220,Dining
Srinathji's Cafe,No,No,3.8,159,600,Cafes
Foodiction,Yes,No,2.8,508,450,Other
Coffee Bytes,No,No,3.1,6,90,Dining
Dessert Rose,No,No,3.5,7,500,Dining
Jeet Restaurant,No,Yes,4.0,808,850,Dining
